Fecha	BM
7-12-11	202805
12-12-11	204297
13-12-11	205275
14-12-11	207548
15-12-11	212390
16-12-11	211099
19-12-11	211179
20-12-11	211150
21-12-11	212290
22-12-11	213652
23-12-11	213129
27-12-11	214157
28-12-11	221321
29-12-11	222824
30-12-11	222922
3-01-12	221897
4-01-12	218475
5-01-12	216193
6-01-12	216247
9-01-12	218463
10-01-12	220699
11-01-12	221376
12-01-12	223790
13-01-12	223329
16-01-12	223612
17-01-12	223306
18-01-12	223211
19-01-12	223038
20-01-12	222304
23-01-12	219942
24-01-12	221173
25-01-12	219755
26-01-12	219217
27-01-12	219817
30-01-12	218324
31-01-12	216117
1-02-12	213769
2-02-12	210812
3-02-12	207632
6-02-12	206232
7-02-12	207463
8-02-12	208759
9-02-12	209244
10-02-12	211873
13-02-12	212703
14-02-12	211243
15-02-12	211290
16-02-12	208305
17-02-12	205493
22-02-12	213701
23-02-12	206531
24-02-12	202637
28-02-12	205499
29-02-12	205437
1-03-12	214979
2-03-12	215324
5-03-12	214217
6-03-12	213654
7-03-12	213577
8-03-12	215705
9-03-12	218545
12-03-12	219539
13-03-12	220485
14-03-12	222280
15-03-12	219215
16-03-12	216052
19-03-12	215849
20-03-12	214596
21-03-12	215699
22-03-12	218320
23-03-12	214232
26-03-12	212451
27-03-12	213831
28-03-12	214873
29-03-12	213667
30-03-12	220626
3-04-12	223088
4-04-12	221643
9-04-12	218964
10-04-12	219943
11-04-12	222157
12-04-12	224107
13-04-12	222467
16-04-12	223515
17-04-12	221033
18-04-12	220691
19-04-12	219850
20-04-12	214695
23-04-12	214245
24-04-12	212937
25-04-12	222195
26-04-12	222794
27-04-12	222914
2-05-12	229851
3-05-12	222940
4-05-12	222245
7-05-12	220770
8-05-12	220130
9-05-12	220611
10-05-12	222839
11-05-12	222797
14-05-12	222302
15-05-12	221888
16-05-12	221841
17-05-12	225934
18-05-12	228321
21-05-12	223537
22-05-12	223659
23-05-12	224040
24-05-12	223429
28-05-12	224929
29-05-12	222549
30-05-12	227105
31-05-12	225512
1-06-12	233103
4-06-12	232186
5-06-12	233544
6-06-12	233473
7-06-12	234458
8-06-12	235559
11-06-12	236334
12-06-12	236093
13-06-12	237580
14-06-12	238528
15-06-12	237254
18-06-12	236894
19-06-12	236149
21-06-12	236228
22-06-12	239399
25-06-12	240126
26-06-12	238446
27-06-12	237897
28-06-12	238157
29-06-12	244158
2-07-12	250434
3-07-12	248643
4-07-12	247682
5-07-12	252969
